success,status.code,status.description,tracker_id
False,112,Wrong method: 'get_last_gps_point',877766
False,112,Wrong method: 'get_last_gps_point',877767
False,112,Wrong method: 'get_last_gps_point',877768
False,112,Wrong method: 'get_last_gps_point',3036043
False,112,Wrong method: 'get_last_gps_point',3036045
False,112,Wrong method: 'get_last_gps_point',3036047
False,112,Wrong method: 'get_last_gps_point',3036049
False,112,Wrong method: 'get_last_gps_point',3036056
False,112,Wrong method: 'get_last_gps_point',3036057
False,112,Wrong method: 'get_last_gps_point',3036059
False,112,Wrong method: 'get_last_gps_point',3036060
False,112,Wrong method: 'get_last_gps_point',1228833
False,112,Wrong method: 'get_last_gps_point',3036068
False,112,Wrong method: 'get_last_gps_point',3036069
False,112,Wrong method: 'get_last_gps_point',3036070
False,112,Wrong method: 'get_last_gps_point',3036071
